positions        types         sigalrm   sigsegv   sigill
  PT_F40        1_bit_flip          1         283         16    
  PT_F40        2_bit_flip          2         290         8     
  PT_F40         1_bit_0           101        191         8     
  PT_F40         2_bit_0            45        224         31    
  PT_F40         1_bit_1            46        203         51    
  PT_F40         2_bit_1            31        250         19    
  PT_F40         8_low_1            0         300         0     
  PT_F40         8_low_0            0         300         0     
  PT_F40       8_low_error          8         222         70    
  PT_F40          plus_1            0          0         300    
  PT_F40          plus_2           300         0          0     
  PT_F40          plus_3           300         0          0     
  PT_F40          plus_4            0          0         300    
  PT_F40          plus_5            0          0         300    
