positions        types         sigalrm   sigsegv   sigill
  PT_F40        1_bit_flip          2         198         0     
  PT_F40        2_bit_flip          0         191         9     
  PT_F40         1_bit_0            62        131         7     
  PT_F40         2_bit_0            28        162         10    
  PT_F40         1_bit_1            41        133         26    
  PT_F40         2_bit_1            13        178         9     
  PT_F40         8_low_1            0         200         0     
  PT_F40         8_low_0            0         200         0     
  PT_F40       8_low_error          3         161         36    
  PT_F40          plus_1            0          0         200    
  PT_F40          plus_2           200         0          0     
  PT_F40          plus_3           200         0          0     
  PT_F40          plus_4            0          0         200    
  PT_F40          plus_5            0          0         200    
